,0
0,2004-02-17 17:22:39.000000
1,2004-02-17 17:22:39.000000
2,2004-02-14 00:52:39.000000
3,2004-02-13 04:42:39.000000
4,2004-02-14 00:22:39.000000
5,2004-02-18 07:22:39.000000
6,2004-02-14 22:12:39.000000
7,2004-02-16 03:02:39.000000
8,2004-02-13 22:42:39.000000
9,2004-02-12 14:22:39.000000
10,2004-02-13 21:42:39.000000
11,2004-02-17 17:42:39.000000
12,2004-02-16 11:12:39.000000
13,2004-02-17 09:52:39.000000
14,2004-02-14 10:02:39.000000
15,2004-02-13 05:22:39.000000
16,2004-02-13 20:32:39.000000
17,2004-02-13 00:22:39.000000
18,2004-02-15 17:22:39.000000
19,2004-02-14 23:52:39.000000
20,2004-02-19 03:42:39.000000
21,2004-02-18 00:02:39.000000
22,2004-02-14 21:02:39.000000
23,2004-02-15 06:42:39.000000
24,2004-02-15 09:42:39.000000
25,2004-02-13 03:42:39.000000
26,2004-02-18 05:22:39.000000
27,2004-02-12 17:52:39.000000
28,2004-02-16 04:02:39.000000
29,2004-02-14 20:12:39.000000
30,2004-02-14 05:52:39.000000
31,2004-02-17 08:12:39.000000
32,2004-02-12 15:12:39.000000
33,2004-02-17 15:02:39.000000
34,2004-02-15 04:52:39.000000
35,2004-02-18 15:02:39.000000
36,2004-02-17 17:52:39.000000
37,2004-02-12 15:02:39.000000
38,2004-02-16 04:22:39.000000
39,2004-02-17 11:52:39.000000
40,2004-02-17 03:22:39.000000
41,2004-02-17 00:02:39.000000
42,2004-02-16 11:32:39.000000
43,2004-02-17 12:52:39.000000
44,2004-02-17 03:52:39.000000
45,2004-02-14 20:42:39.000000
46,2004-02-13 14:12:39.000000
47,2004-02-16 03:22:39.000000
48,2004-02-13 21:52:39.000000
49,2004-02-17 11:42:39.000000
50,2004-02-17 21:42:39.000000
51,2004-02-18 14:12:39.000000
52,2004-02-13 01:02:39.000000
53,2004-02-18 03:12:39.000000
54,2004-02-16 21:52:39.000000
55,2004-02-13 18:52:39.000000
56,2004-02-14 05:42:39.000000
57,2004-02-14 03:32:39.000000
58,2004-02-17 11:02:39.000000
59,2004-02-12 12:12:39.000000
60,2004-02-15 20:42:39.000000
61,2004-02-15 12:52:39.000000
62,2004-02-12 12:32:39.000000
63,2004-02-13 16:02:39.000000
64,2004-02-13 15:32:39.000000
65,2004-02-13 16:32:39.000000
66,2004-02-18 11:22:39.000000
67,2004-02-15 09:22:39.000000
68,2004-02-15 22:12:39.000000
69,2004-02-15 11:22:39.000000
70,2004-02-14 22:52:39.000000
71,2004-02-15 20:52:39.000000
72,2004-02-15 01:42:39.000000
73,2004-02-13 11:32:39.000000
74,2004-02-13 12:22:39.000000
75,2004-02-17 12:42:39.000000
76,2004-02-12 18:22:39.000000
77,2004-02-18 21:32:39.000000
78,2004-02-19 03:52:39.000000
79,2004-02-13 09:02:39.000000
