2091,182,43
2090,180,55
2089,181,41
2090,179,324
2088,185,112
2091,180,66
2089,182,44
2094,184,39
2092,189,34
2097,182,39
2095,196,126
2097,184,58
2093,183,82
2093,185,42
2092,187,150
2163,185,36
2092,187,36
2091,184,47
2093,181,52
2093,188,42
2141,186,46
2092,181,50
2090,186,37
2109,184,57
2094,181,62
2093,184,60
2092,183,45
2143,183,36
2097,185,206
2090,208,65
2097,183,80
2091,188,44
2093,181,48
2091,189,39
2142,196,92
2093,184,112
2094,191,238
2141,214,1107
2087,189,38
2091,184,40
2091,184,82
2096,182,65
2089,183,45
2087,186,62
2086,181,54
2090,182,107
2087,184,36
2088,182,257
2152,178,57
2089,183,43
2090,192,455
2088,182,50
2097,178,193
2091,180,38
2089,183,40
2085,191,627
2095,181,57
2088,182,43
2092,184,41
2092,181,51
2101,180,57
2091,183,43
2089,184,147
2088,178,38
2089,182,186
2098,178,35
2089,183,78
2088,180,60
2088,184,36
2090,180,62
2088,179,117
2090,188,61
2091,183,37
2094,186,101
2107,184,42
2093,189,38
2142,184,40
2095,186,87
2093,185,40
2098,213,51
2092,186,89
2091,185,94
2096,186,123
2141,187,77
2091,209,87
2090,184,37
2091,186,37
2093,186,327
2102,184,92
2092,187,81
2090,186,42
2093,189,87
2142,187,792
2089,187,56
2141,183,38
2094,185,51
2093,187,42
2090,189,76
2092,186,61
2097,190,43
2092,189,49
2094,188,88
2108,187,63
2090,202,56
2090,496,93
2107,192,268
2091,184,160
2093,186,37
2092,184,104
2099,182,48
2089,183,86
2088,185,40
2090,180,49
2092,181,78
2097,179,89
2089,178,113
2089,181,119
2087,180,215
2087,193,53
2089,182,178
2087,182,95
2092,183,39
2092,180,42
2091,193,44
2090,183,45
2089,177,46
2090,183,88
2088,182,73
2098,181,46
2092,182,41
2087,183,35
2091,178,43
2090,183,73
2099,180,94
2091,183,43
2090,182,48
2089,182,46
2088,182,127
2087,180,42
2089,178,34
2089,184,36
2091,180,45
2088,183,94
2088,179,85
2087,182,87
2092,182,35
2087,181,856
2089,192,868
2090,185,39
2092,179,41
2093,181,43
2090,180,96
2089,192,56
2090,181,49
2094,180,43
2091,182,73
2089,179,42
2103,180,85
2090,181,97
2089,182,40
2090,180,595
2087,183,102
2089,179,42
2091,181,43
2088,180,473
2093,183,40
2092,180,41
2088,181,81
2088,181,51
2090,182,56
2092,179,58
2088,195,136
2089,181,37
2089,181,38
2089,181,45
2091,182,33
2090,190,39
2090,181,39
2090,181,101
2090,180,77
2090,182,90
2102,180,80
2087,180,79
2089,181,1390
2090,178,41
2090,182,34
2102,180,42
2090,180,905
2089,180,56
2091,183,39
2093,179,44
2091,178,44
2092,180,36
2089,178,42
2094,179,43
2089,181,109
2088,182,52
2090,183,51
2089,181,88
2089,182,158
2089,193,110
2087,182,52
2091,182,49
2089,181,42
2091,181,34
2088,190,118
2090,181,99
2092,180,59
2088,181,52
2088,179,35
2091,180,57
2089,183,89
2092,184,41
2090,180,44
2091,181,96
