2096,252,135
2086,233,128
2081,233,123
2083,232,132
2081,219,122
2082,222,135
2081,218,131
79,227,122
2084,227,127
2084,229,122
2083,242,126
2084,251,134
2098,234,134
2139,226,140
2084,232,144
2092,245,129
2085,243,132
2138,248,127
2086,251,136
2102,243,128
2139,228,128
2085,231,142
2103,229,144
2136,243,129
2089,245,128
2103,245,131
2147,245,133
2085,245,129
2194,450,131
2091,228,130
2086,240,145
2088,246,171
2102,243,167
2087,235,140
2089,240,196
2087,247,130
2105,251,122
2142,232,136
2088,229,142
2104,239,124
2136,242,130
2089,230,140
2100,234,140
84,238,123
2090,246,129
2104,236,143
2140,238,140
2089,250,130
2112,238,131
2561,272,128
2098,221,137
2082,218,137
2083,245,132
2137,243,133
2085,233,146
2101,234,139
2086,250,132
2086,246,123
2085,230,138
2100,234,145
2136,248,129
2087,248,129
2102,231,139
2139,228,157
2085,251,132
2101,244,127
2137,228,134
2086,230,142
2105,238,127
2136,245,128
2089,229,140
2234,420,139
2088,222,142
2082,230,124
2081,252,131
2100,235,153
2135,234,142
2086,241,124
2101,244,131
2134,229,141
2085,233,142
2101,241,127
2146,248,128
2086,229,143
2107,235,138
2136,249,130
2086,245,128
2088,235,142
2088,235,162
2085,245,129
2087,246,134
2294,373,137
2099,224,132
2084,228,130
2082,228,125
2085,231,123
2083,219,135
2082,219,130
2084,229,122
81,226,127
2083,220,133
2083,220,133
2084,230,124
2082,232,161
80,217,134
2082,219,131
2084,231,120
2083,228,128
2085,219,132
2082,219,134
2084,231,122
2082,232,127
2084,215,136
2084,220,144
2086,247,127
2102,240,127
2126,229,144
2085,232,144
2099,241,129
2140,243,128
2086,237,141
2100,234,146
82,241,127
2104,257,127
2141,235,147
2089,232,143
2088,244,130
2088,246,126
2138,223,134
2091,233,139
2104,251,129
2203,429,145
2092,224,136
2086,251,133
2087,243,133
2107,237,143
2139,232,142
2091,244,126
2106,247,131
2149,228,183
2090,237,140
2106,263,129
2144,246,128
2088,231,142
2104,230,143
2139,239,126
2087,250,128
2106,235,183
85,229,140
2105,248,128
2147,248,168
2098,238,140
2437,286,142
87,218,134
2082,230,162
2086,245,133
2137,234,136
2087,236,143
2102,246,129
2136,246,133
2085,236,138
2085,231,148
2085,250,123
2136,243,127
2156,233,143
2086,234,138
2101,247,128
81,244,129
2102,235,138
85,232,140
2098,245,166
82,236,128
2098,236,136
2227,421,140
2088,225,136
2084,233,129
2081,250,134
2099,238,140
2132,235,144
2085,244,128
2099,246,129
2141,233,139
2082,233,138
2100,244,133
2137,252,173
2084,240,142
2101,230,137
2137,237,123
2092,245,170
2085,230,145
2100,238,135
2140,246,130
2086,250,127
2363,317,133
2097,221,137
2083,222,137
2083,227,125
80,227,123
2082,219,134
2082,218,132
2083,224,119
2082,231,124
80,220,127
2081,218,128
2083,236,127
2081,235,125
2083,218,139
2088,217,130
2082,229,125
2082,231,124
81,214,168
2083,220,135
2084,227,120
2081,227,123
2082,221,132
2083,236,142
2086,240,128
2100,242,128
2137,233,141
2087,229,142
2102,248,134
