,Surface Speed,Percent Axial Depth,Chip Load,Axial Stepover,Ending Depth
0,250.0,5.0,0.003,0.0312,0.0312
1,250.0,15.0,0.002,0.0938,0.125
2,250.0,25.0,0.003,0.1562,0.2812
3,200.0,25.0,0.001,0.1562,0.4375
4,200.0,15.0,0.001,0.0938,0.5312
5,200.0,5.0,0.001,0.0312,0.5625
6,200.0,25.0,0.003,0.1562,0.7188
7,250.0,5.0,0.001,0.0312,0.75
8,200.0,15.0,0.003,0.0938,0.8438
9,250.0,25.0,0.001,0.1562,1.0
10,300.0,15.0,0.003,0.0938,1.0938
11,300.0,5.0,0.002,0.0312,1.125
12,250.0,25.0,0.002,0.1562,1.2812
13,250.0,5.0,0.002,0.0312,1.3125
14,200.0,5.0,0.002,0.0312,1.3438
15,200.0,5.0,0.003,0.0312,1.375
16,300.0,15.0,0.002,0.0938,1.4688
17,300.0,5.0,0.001,0.0312,1.5
18,200.0,25.0,0.002,0.1562,1.6562
19,300.0,25.0,0.001,0.1562,0.0
20,300.0,25.0,0.002,0.1562,0.1562
21,300.0,15.0,0.001,0.0938,0.25
22,200.0,15.0,0.002,0.0938,0.3438
23,250.0,15.0,0.001,0.0938,0.4375
24,300.0,25.0,0.003,0.1562,0.5938
25,300.0,5.0,0.003,0.0312,0.625
26,250.0,15.0,0.003,0.0938,0.7188
27,212.697,24.3344,0.0015,0.1521,0.8708
28,289.7237,12.535,0.0017,0.0783,0.9492
29,245.1376,21.8051,0.0012,0.1363,1.0855
30,254.3026,12.4602,0.0019,0.0779,1.1633
31,212.9441,22.1976,0.0026,0.1387,1.3021
32,235.2054,9.5777,0.0026,0.0599,1.3619
33,259.4784,7.7511,0.0027,0.0484,1.4104
34,223.5507,7.9245,0.0022,0.0495,1.4599
35,257.4012,6.2254,0.0022,0.0389,1.4988
36,224.535,11.8089,0.003,0.0738,1.5726
