Sample,Surface Speed,Chip Load,Cutting Depth,Tool Type
61,200,0.003,25,0
62,200,0.001,5,0
63,300,0.001,25,0
64,250,0.002,15,0
65,250,0.002,15,0
66,300,0.003,5,0
67,300,0.001,5,0
68,300,0.003,25,0
69,200,0.001,25,0
70,250,0.002,15,0
71,250,0.002,15,0
72,200,0.003,5,0
73,200,0.002,15,0
74,250,0.002,5,0
75,250,0.002,25,0
76,250,0.001,15,0
77,300,0.002,15,0
78,250,0.003,15,0
79,250,0.002,15,0
80,250,0.002,15,0
81,250,0.003,5.1348269779,0
82,273,0.0028,23.973920112,0
83,230,0.0028,14.472766793,0
84,203,0.0025,24.465761073,0
85,264,0.0011,24.543249108,0
86,243,0.0021,24.083393325,0
87,205,0.0015,13.121426397,0
88,271,0.0017,18.093427065,0
89,241,0.0019,16.062873336,0
90,279,0.0021,7.847688164,0
91,300,0.001,25,1
92,250,0.002,15,1
93,200,0.003,25,1
94,300,0.003,5,1
95,250,0.002,15,1
96,200,0.001,5,1
97,300,0.001,5,1
98,200,0.001,25,1
99,200,0.003,5,1
100,300,0.003,25,1
101,250,0.002,15,1
102,250,0.002,15,1
103,250,0.002,15,1
104,250,0.002,25,1
105,250,0.002,15,1
106,250,0.003,15,1
107,200,0.002,15,1
108,300,0.002,15,1
109,250,0.001,15,1
110,250,0.002,5,1
111,298,0.0029,12.620823525,1
112,287,0.0023,24.834516828,1
113,202,0.0022,5.5339012713,1
114,223,0.003,20.805485632,1
115,227,0.0013,17.605010258,1
116,210,0.002,21.973274086,1
117,211,0.0012,5.0308570204,1
118,285,0.001,13.444385328,1
119,268,0.0024,11.716612744,1
120,254,0.0012,7.3948773266,1
